"order_month"|"year_month"|"order_year"|"order_month_num"|"provinsi"|"total_orders"|"total_revenue"|"avg_order_value"|"total_items"|"unique_customers"|"total_discount"|"discounted_orders"
"2024-02-01"|"2024-02"|2024|2|"BANGKA BELITUNG"|2|"81392.00"|"40696"|3|2|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"BANTEN"|67|"4049021.00"|"60433"|134|8|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"DI YOGYAKARTA"|3|"114100.00"|"38033"|6|2|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"DKI JAKARTA"|65|"4085903.00"|"62860"|173|5|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"JAMBI"|4|"326088.00"|"81522"|17|3|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"JAWA BARAT"|115|"5754018.00"|"50035"|192|24|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"JAWA TENGAH"|15|"1899134.00"|"126609"|53|12|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"JAWA TIMUR"|11|"947380.00"|"86125"|37|8|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"KALIMANTAN BARAT"|1|"141400.00"|"141400"|5|1|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"KALIMANTAN SELATAN"|1|"64960.00"|"64960"|2|1|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"KALIMANTAN TENGAH"|1|"72448.00"|"72448"|2|1|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"KALIMANTAN TIMUR"|1|"111300.00"|"111300"|7|1|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"KALIMANTAN UTARA"|1|"153816.00"|"153816"|7|1|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"LAMPUNG"|5|"255794.00"|"51159"|11|5|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"NANGGROE ACEH DARUSSALAM (NAD)"|1|"60800.00"|"60800"|1|1|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"NUSA TENGGARA BARAT (NTB)"|2|"74800.00"|"37400"|5|2|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"RIAU"|3|"228460.00"|"76153"|9|3|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"SULAWESI BARAT"|1|"119560.00"|"119560"|1|1|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"SULAWESI SELATAN"|3|"219296.00"|"73099"|4|2|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"SUMATERA BARAT"|2|"161526.00"|"80763"|9|1|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"SUMATERA SELATAN"|15|"1799323.00"|"119955"|146|5|"181500.00"|1
"2024-02-01"|"2024-02"|2024|2|"SUMATERA UTARA"|7|"368105.00"|"52586"|7|6|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"BALI"|1|"41400.00"|"41400"|1|1|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"BANTEN"|70|"5279540.00"|"75422"|230|7|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"BENGKULU"|5|"474424.00"|"94885"|11|2|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"DI YOGYAKARTA"|2|"193471.00"|"96736"|16|2|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"DKI JAKARTA"|75|"4515778.00"|"60210"|287|5|"35000.00"|1
"2024-03-01"|"2024-03"|2024|3|"JAMBI"|5|"337154.00"|"67431"|17|4|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"JAWA BARAT"|157|"11187621.00"|"71259"|487|22|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"JAWA TENGAH"|17|"1213668.00"|"71392"|57|14|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"JAWA TIMUR"|14|"621192.00"|"44371"|25|9|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"KALIMANTAN BARAT"|2|"166944.00"|"83472"|3|2|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"KALIMANTAN TIMUR"|1|"86471.00"|"86471"|1|1|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"KEPULAUAN RIAU"|2|"154360.00"|"77180"|2|1|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"LAMPUNG"|2|"64296.00"|"32148"|2|2|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"NUSA TENGGARA BARAT (NTB)"|1|"69120.00"|"69120"|2|1|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"RIAU"|7|"608832.00"|"86976"|28|4|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"SULAWESI BARAT"|2|"158520.00"|"79260"|11|1|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"SULAWESI SELATAN"|1|"86280.00"|"86280"|3|1|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"SULAWESI TENGAH"|1|"38896.00"|"38896"|2|1|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"SUMATERA BARAT"|10|"958988.00"|"95899"|56|6|"0.00"|0
"2024-03-01"|"2024-03"|2024|3|"SUMATERA SELATAN"|9|"3727704.00"|"414189"|406|3|"565500.00"|2
"2024-03-01"|"2024-03"|2024|3|"SUMATERA UTARA"|5|"275075.00"|"55015"|11|5|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"BANGKA BELITUNG"|1|"35900.00"|"35900"|4|1|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"BANTEN"|90|"4087474.00"|"45416"|170|8|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"BENGKULU"|3|"231924.00"|"77308"|9|2|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"DI YOGYAKARTA"|3|"159160.00"|"53053"|5|1|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"DKI JAKARTA"|70|"2995017.00"|"42786"|134|5|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"JAMBI"|4|"236108.00"|"59027"|13|4|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"JAWA BARAT"|170|"8581542.00"|"50480"|447|20|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"JAWA TENGAH"|7|"291219.00"|"41603"|14|5|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"JAWA TIMUR"|14|"924093.00"|"66007"|66|11|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"KALIMANTAN BARAT"|3|"294512.00"|"98171"|5|3|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"KALIMANTAN SELATAN"|1|"90440.00"|"90440"|3|1|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"KALIMANTAN TENGAH"|3|"325400.00"|"108467"|15|3|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"KALIMANTAN TIMUR"|3|"334032.00"|"111344"|8|3|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"KEPULAUAN RIAU"|1|"28775.00"|"28775"|6|1|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"LAMPUNG"|9|"1033468.00"|"114830"|127|5|"150000.00"|1
"2024-04-01"|"2024-04"|2024|4|"MALUKU UTARA"|1|"236040.00"|"236040"|12|1|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"NANGGROE ACEH DARUSSALAM (NAD)"|1|"71980.00"|"71980"|1|1|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"RIAU"|4|"492555.00"|"123139"|17|3|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"SULAWESI SELATAN"|1|"54144.00"|"54144"|2|1|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"SULAWESI UTARA"|1|"98239.00"|"98239"|1|1|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"SUMATERA BARAT"|3|"164928.00"|"54976"|9|3|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"SUMATERA SELATAN"|8|"438812.00"|"54852"|28|4|"0.00"|0
"2024-04-01"|"2024-04"|2024|4|"SUMATERA UTARA"|2|"54900.00"|"27450"|3|2|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"BALI"|2|"113636.00"|"56818"|2|1|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"BANGKA BELITUNG"|4|"181523.00"|"45381"|7|3|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"BANTEN"|116|"6959139.00"|"59993"|287|8|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"DI YOGYAKARTA"|5|"360556.00"|"72111"|16|4|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"DKI JAKARTA"|99|"6898465.00"|"69681"|182|5|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"GORONTALO"|2|"243240.00"|"121620"|3|2|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"JAMBI"|4|"164768.00"|"41192"|5|2|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"JAWA BARAT"|208|"8490047.00"|"40818"|393|22|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"JAWA TENGAH"|21|"4128619.00"|"196601"|55|13|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"JAWA TIMUR"|6|"3122120.00"|"520353"|20|6|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"KALIMANTAN BARAT"|2|"113218.00"|"56609"|4|2|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"KALIMANTAN SELATAN"|1|"51336.00"|"51336"|1|1|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"KALIMANTAN TENGAH"|1|"116480.00"|"116480"|4|1|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"KALIMANTAN TIMUR"|3|"683800.00"|"227933"|9|2|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"KALIMANTAN UTARA"|1|"130194.00"|"130194"|1|1|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"KEPULAUAN RIAU"|3|"220486.00"|"73495"|8|3|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"LAMPUNG"|11|"790689.00"|"71881"|37|4|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"NANGGROE ACEH DARUSSALAM (NAD)"|2|"171950.00"|"85975"|10|1|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"NUSA TENGGARA BARAT (NTB)"|1|"94000.00"|"94000"|1|1|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"RIAU"|1|"99566.00"|"99566"|1|1|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"SULAWESI SELATAN"|10|"660763.00"|"66076"|12|7|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"SULAWESI TENGAH"|1|"126543.00"|"126543"|6|1|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"SULAWESI UTARA"|1|"59240.00"|"59240"|1|1|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"SUMATERA BARAT"|3|"88148.00"|"29383"|4|2|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"SUMATERA SELATAN"|12|"1036552.00"|"86379"|46|8|"0.00"|0
"2024-05-01"|"2024-05"|2024|5|"SUMATERA UTARA"|5|"425496.00"|"85099"|9|4|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"BALI"|5|"245160.00"|"49032"|8|4|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"BANGKA BELITUNG"|3|"117800.00"|"39267"|4|2|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"BANTEN"|136|"6268700.00"|"46093"|400|8|"300000.00"|2
"2024-06-01"|"2024-06"|2024|6|"BENGKULU"|3|"208944.00"|"69648"|11|2|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"DI YOGYAKARTA"|2|"68040.00"|"34020"|3|2|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"DKI JAKARTA"|106|"6677200.00"|"62992"|159|5|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"GORONTALO"|1|"29392.00"|"29392"|1|1|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"JAMBI"|10|"426671.00"|"42667"|24|5|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"JAWA BARAT"|222|"10759020.00"|"48464"|598|24|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"JAWA TENGAH"|34|"1596292.00"|"46950"|62|17|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"JAWA TIMUR"|19|"1029180.00"|"54167"|42|11|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"KALIMANTAN BARAT"|7|"771242.00"|"110177"|18|3|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"KALIMANTAN SELATAN"|4|"611870.00"|"152968"|10|3|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"KALIMANTAN TENGAH"|4|"166577.00"|"41644"|6|1|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"KALIMANTAN TIMUR"|2|"158624.00"|"79312"|3|2|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"KEPULAUAN RIAU"|1|"35744.00"|"35744"|2|1|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"LAMPUNG"|9|"442604.00"|"49178"|22|7|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"NANGGROE ACEH DARUSSALAM (NAD)"|2|"143960.00"|"71980"|4|1|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"NUSA TENGGARA BARAT (NTB)"|1|"83680.00"|"83680"|3|1|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"RIAU"|5|"315273.00"|"63055"|15|3|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"SULAWESI SELATAN"|6|"435384.00"|"72564"|11|6|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"SULAWESI TENGAH"|1|"104272.00"|"104272"|1|1|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"SULAWESI TENGGARA"|1|"99840.00"|"99840"|1|1|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"SULAWESI UTARA"|1|"236040.00"|"236040"|10|1|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"SUMATERA BARAT"|5|"331093.00"|"66219"|18|4|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"SUMATERA SELATAN"|11|"451967.00"|"41088"|19|7|"0.00"|0
"2024-06-01"|"2024-06"|2024|6|"SUMATERA UTARA"|7|"651356.00"|"93051"|14|5|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"BALI"|18|"1497946.00"|"83219"|32|5|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"BANGKA BELITUNG"|11|"707291.00"|"64299"|34|6|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"BANTEN"|244|"11660397.00"|"47789"|550|8|"10000.00"|2
"2024-07-01"|"2024-07"|2024|7|"BENGKULU"|8|"722961.00"|"90370"|48|3|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"DI YOGYAKARTA"|7|"468106.00"|"66872"|25|3|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"DKI JAKARTA"|188|"8691029.00"|"46229"|357|5|"24000.00"|1
"2024-07-01"|"2024-07"|2024|7|"GORONTALO"|2|"104544.00"|"52272"|4|2|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"JAMBI"|12|"621890.00"|"51824"|32|5|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"JAWA BARAT"|382|"14737881.00"|"38581"|779|27|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"JAWA TENGAH"|56|"7256782.00"|"129585"|115|25|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"JAWA TIMUR"|49|"5385763.00"|"109914"|207|23|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"KALIMANTAN BARAT"|12|"1051998.00"|"87667"|20|9|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"KALIMANTAN SELATAN"|2|"216760.00"|"108380"|2|2|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"KALIMANTAN TENGAH"|2|"246920.00"|"123460"|12|2|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"KALIMANTAN TIMUR"|6|"412952.00"|"68825"|16|4|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"KEPULAUAN RIAU"|8|"688275.00"|"86034"|27|4|"6000.00"|1
"2024-07-01"|"2024-07"|2024|7|"LAMPUNG"|23|"1852172.00"|"80529"|52|11|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"MALUKU"|1|"137500.00"|"137500"|3|1|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"NANGGROE ACEH DARUSSALAM (NAD)"|4|"275752.00"|"68938"|23|2|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"NUSA TENGGARA BARAT (NTB)"|5|"341232.00"|"68246"|7|3|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"RIAU"|11|"695776.00"|"63252"|31|5|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"SULAWESI SELATAN"|12|"2134912.00"|"177909"|130|6|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"SULAWESI TENGAH"|2|"116272.00"|"58136"|4|2|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"SULAWESI TENGGARA"|1|"188616.00"|"188616"|3|1|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"SULAWESI UTARA"|1|"50400.00"|"50400"|2|1|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"SUMATERA BARAT"|10|"371184.00"|"37118"|19|5|"0.00"|0
"2024-07-01"|"2024-07"|2024|7|"SUMATERA SELATAN"|24|"1924774.00"|"80199"|169|5|"181500.00"|1
"2024-07-01"|"2024-07"|2024|7|"SUMATERA UTARA"|13|"1231460.00"|"94728"|42|8|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"BALI"|7|"448034.00"|"64005"|19|5|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"BANGKA BELITUNG"|9|"497592.00"|"55288"|24|3|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"BANTEN"|216|"11362041.00"|"52602"|589|8|"110000.00"|2
"2024-08-01"|"2024-08"|2024|8|"BENGKULU"|6|"283097.00"|"47183"|11|4|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"DI YOGYAKARTA"|12|"733997.00"|"61166"|40|3|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"DKI JAKARTA"|193|"12614550.00"|"65360"|626|5|"300000.00"|1
"2024-08-01"|"2024-08"|2024|8|"JAMBI"|10|"451484.00"|"45148"|20|5|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"JAWA BARAT"|388|"15402883.00"|"39698"|806|25|"12000.00"|1
"2024-08-01"|"2024-08"|2024|8|"JAWA TENGAH"|46|"5476317.00"|"119050"|87|23|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"JAWA TIMUR"|59|"6172849.00"|"104625"|136|27|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"KALIMANTAN BARAT"|11|"514298.00"|"46754"|18|5|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"KALIMANTAN SELATAN"|2|"82431.00"|"41216"|3|2|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"KALIMANTAN TENGAH"|4|"244983.00"|"61246"|10|3|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"KALIMANTAN TIMUR"|3|"127456.00"|"42485"|6|2|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"KEPULAUAN RIAU"|2|"81440.00"|"40720"|4|2|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"LAMPUNG"|23|"2400461.00"|"104368"|137|7|"4000.00"|1
"2024-08-01"|"2024-08"|2024|8|"MALUKU"|1|"482440.00"|"482440"|1|1|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"MALUKU UTARA"|2|"860100.00"|"430050"|13|2|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"NANGGROE ACEH DARUSSALAM (NAD)"|5|"315412.00"|"63082"|11|5|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"NUSA TENGGARA BARAT (NTB)"|10|"1300573.00"|"130057"|21|5|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"RIAU"|14|"805140.00"|"57510"|29|7|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"SULAWESI BARAT"|1|"59552.00"|"59552"|2|1|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"SULAWESI SELATAN"|10|"602211.00"|"60221"|19|5|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"SULAWESI TENGAH"|5|"595031.00"|"119006"|7|4|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"SULAWESI TENGGARA"|2|"181388.00"|"90694"|3|2|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"SULAWESI UTARA"|4|"827219.00"|"206805"|15|2|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"SUMATERA BARAT"|16|"695028.00"|"43439"|39|8|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"SUMATERA SELATAN"|27|"1810237.00"|"67046"|68|8|"0.00"|0
"2024-08-01"|"2024-08"|2024|8|"SUMATERA UTARA"|9|"510882.00"|"56765"|20|6|"0.00"|0
"2024-09-01"|"2024-09"|2024|9|"BALI"|14|"1197208.00"|"85515"|34|6|"0.00"|0
"2024-09-01"|"2024-09"|2024|9|"BANGKA BELITUNG"|11|"488814.00"|"44438"|19|5|"0.00"|0
"2024-09-01"|"2024-09"|2024|9|"BANTEN"|163|"9422437.00"|"57806"|410|8|"20000.00"|2
"2024-09-01"|"2024-09"|2024|9|"BENGKULU"|6|"342478.00"|"57080"|15|3|"0.00"|0
"2024-09-01"|"2024-09"|2024|9|"DI YOGYAKARTA"|10|"673800.00"|"67380"|18|4|"0.00"|0
"2024-09-01"|"2024-09"|2024|9|"DKI JAKARTA"|147|"7204425.00"|"49010"|321|6|"2400.00"|1
"2024-09-01"|"2024-09"|2024|9|"GORONTALO"|1|"41080.00"|"41080"|2|1|"0.00"|0
"2024-09-01"|"2024-09"|2024|9|"JAMBI"|6|"320383.00"|"53397"|13|5|"0.00"|0
"2024-09-01"|"2024-09"|2024|9|"JAWA BARAT"|318|"16389954.00"|"51541"|673|27|"40000.00"|2
"2024-09-01"|"2024-09"|2024|9|"JAWA TENGAH"|59|"11190476.00"|"189669"|152|22|"0.00"|0
"2024-09-01"|"2024-09"|2024|9|"JAWA TIMUR"|100|"10046799.00"|"100468"|388|36|"700000.00"|1
